CGC_HOSP,data_dia,num_internacoes,CNES,COD_CEP,Logradouro,Numero,Status_Busca_CNES,Endereco
254512000184,2012-05-27,154,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-28,238,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-29,140,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-30,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-05-31,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-01,14,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-02,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-03,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-04,112,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-05,70,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-06,28,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-07,28,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-08,0,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
254512000184,2012-06-09,98,2296748,26112140,RUA DJALMA RIBEIRO ANDRADE,5,Encontrado,"RUA DJALMA RIBEIRO ANDRADE, 5"
