data_formatada,aqi_final,descricao_aqi
2013-08-26,87.53263624841571,Moderate
2013-08-27,58.92601394169835,Moderate
2013-08-28,59.54304347826087,Moderate
2013-08-29,72.8217680608365,Moderate
2013-08-30,71.09,Moderate
2013-08-31,76.8954347826087,Moderate
2013-09-01,82.74347826086957,Moderate
2013-09-02,107.0427027027027,Unhealthy for Sensitive Groups
2013-09-03,136.49832495812396,Unhealthy for Sensitive Groups
2013-09-04,74.64782608695653,Moderate
2013-09-05,73.09260869565217,Moderate
2013-09-06,59.574999999999996,Moderate
2013-09-07,49.53703703703703,Good
2013-09-08,71.10065217391305,Moderate
2013-09-09,69.9395652173913,Moderate
2013-09-10,93.93155893536122,Moderate
2013-09-11,56.01717391304348,Moderate
2013-09-12,61.98239130434783,Moderate
2013-09-13,88.92173913043479,Moderate
2013-09-14,90.17869565217391,Moderate
